movie_name,movie_href,movie_info,movie_rating,movie_rating_num
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.1,1166154人评价
十二怒汉,https://movie.douban.com/subject/1293182/,导演: Sidney Lumet 主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,9.4,530286人评价
让子弹飞,https://movie.douban.com/subject/3742360/,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,9.0,1796111人评价
何以为家,https://movie.douban.com/subject/30170448/,导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ...,9.1,1100591人评价
海蒂和爷爷,https://movie.douban.com/subject/25958717/,导演: 阿兰·葛斯彭纳 Alain Gsponer 主演: 阿努克·斯特芬 Anuk Steffen /...,9.3,687059人评价
猫鼠游戏,https://movie.douban.com/subject/1305487/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 莱昂纳多·迪卡普里奥 L...,9.1,1107177人评价
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛...,9.0,1645054人评价
天空之城,https://movie.douban.com/subject/1291583/,导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,9.2,940036人评价
鬼子来了,https://movie.douban.com/subject/1291858/,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,9.3,664830人评价
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,导演: 李安 Ang Lee 主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,9.1,1412041人评价
钢琴家,https://movie.douban.com/subject/1296736/,导演: 罗曼·波兰斯基 Roman Polanski 主演: 艾德里安·布洛迪 Adrien Brod...,9.3,690108人评价
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.2,799319人评价
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.0,1281428人评价
闻香识女人,https://movie.douban.com/subject/1298624/,导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯...,9.1,946715人评价
死亡诗社,https://movie.douban.com/subject/1291548/,导演: 彼得·威尔 Peter Weir 主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,9.2,791518人评价
绿皮书,https://movie.douban.com/subject/27060077/,导演: 彼得·法雷里 Peter Farrelly 主演: 维果·莫腾森 Viggo Mortensen /...,8.9,1754154人评价
大闹天宫,https://movie.douban.com/subject/1418019/,导演: 万籁鸣 Laiming Wan 主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,9.4,469451人评价
罗马假日,https://movie.douban.com/subject/1293839/,导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格...,9.1,993010人评价
黑客帝国,https://movie.douban.com/subject/1291843/,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主...,9.1,884996人评价
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.1,896912人评价
天堂电影院,https://movie.douban.com/subject/1291828/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 菲利普·努瓦雷 Philipp...,9.2,706996人评价
教父2,https://movie.douban.com/subject/1299131/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A...,9.3,590033人评价
狮子王,https://movie.douban.com/subject/1301753/,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff 主演: 乔纳森·泰勒·托马...,9.1,896866人评价
辩护人,https://movie.douban.com/subject/21937445/,导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,9.2,622255人评价
饮食男女,https://movie.douban.com/subject/1291818/,导演: 李安 Ang Lee 主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,9.2,663145人评价
搏击俱乐部,https://movie.douban.com/subject/1292000/,导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉...,9.0,899907人评价
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,导演: 大卫·芬奇 David Fincher 主演: 凯特·布兰切特 Cate Blanchett / ...,9.0,1039472人评价
美丽心灵,https://movie.douban.com/subject/1306029/,导演: 朗·霍华德 Ron Howard 主演: 罗素·克劳 Russell Crowe / 艾德·哈...,9.1,809563人评价
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,导演: 马克·赫尔曼 Mark Herman 主演: 阿萨·巴特菲尔德 Asa Butterfield ...,9.2,601893人评价
窃听风暴,https://movie.douban.com/subject/1900841/,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n...,9.2,596725人评价
情书,https://movie.douban.com/subject/1292220/,导演: 岩井俊二 Shunji Iwai 主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,8.9,1192871人评价
两杆大烟枪,https://movie.douban.com/subject/1293350/,导演: 盖·里奇 Guy Ritchie 主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,9.1,631396人评价
音乐之声,https://movie.douban.com/subject/1294408/,导演: 罗伯特·怀斯 Robert Wise 主演: 朱莉·安德鲁斯 Julie Andrews / 克...,9.1,638837人评价
西西里的美丽传说,https://movie.douban.com/subject/1292402/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 莫妮卡·贝鲁奇 Monica ...,8.9,1030924人评价
看不见的客人,https://movie.douban.com/subject/26580232/,导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿...,8.8,1350163人评价
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,9.0,887204人评价
阿凡达,https://movie.douban.com/subject/1652587/,导演: 詹姆斯·卡梅隆 James Cameron 主演: 萨姆·沃辛顿 Sam Worthington ...,8.8,1489432人评价
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks...,9.1,682101人评价
功夫,https://movie.douban.com/subject/1291543/,导演: 周星驰 Stephen Chow 主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,8.8,1223057人评价
小鞋子,https://movie.douban.com/subject/1303021/,导演: 马基德·马基迪 Majid Majidi 主演: 默罕默德·阿米尔·纳吉 Mohamma...,9.2,434624人评价
飞越疯人院,https://movie.douban.com/subject/1292224/,导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols...,9.1,573425人评价
沉默的羔羊,https://movie.douban.com/subject/1293544/,导演: 乔纳森·戴米 Jonathan Demme 主演: 朱迪·福斯特 Jodie Foster / 安...,8.9,947900人评价
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,导演: 韦斯·安德森 Wes Anderson 主演: 拉尔夫·费因斯 Ralph Fiennes / ...,8.9,1006609人评价
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,导演: Alfonso Cuarón 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,9.0,792160人评价
蝴蝶效应,https://movie.douban.com/subject/1292343/,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主...,8.9,995442人评价
禁闭岛,https://movie.douban.com/subject/2334904/,导演: Martin Scorsese 主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,8.9,1039716人评价
致命魔术,https://movie.douban.com/subject/1780330/,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman...,8.9,908805人评价
心灵捕手,https://movie.douban.com/subject/1292656/,导演: 格斯·范·桑特 Gus Van Sant 主演: 马特·达蒙 Matt Damon / 罗宾·...,9.0,764367人评价
超脱,https://movie.douban.com/subject/5322596/,导演: 托尼·凯耶 Tony Kaye 主演: 艾德里安·布洛迪 Adrien Brody / 马西...,9.0,659794人评价
低俗小说,https://movie.douban.com/subject/1291832/,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra...,8.9,890641人评价
摩登时代,https://movie.douban.com/subject/1294371/,导演: 查理·卓别林 Charles Chaplin 主演: 查理·卓别林 Charles Chaplin ...,9.3,321770人评价
喜剧之王,https://movie.douban.com/subject/1302425/,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Ch...,8.8,1022912人评价
春光乍泄,https://movie.douban.com/subject/1292679/,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,9.0,668321人评价
海豚湾,https://movie.douban.com/subject/3442220/,导演: 路易·西霍尤斯 Louie Psihoyos 主演: 路易·西霍尤斯 Louie Psihoyo...,9.3,369167人评价
致命ID,https://movie.douban.com/subject/1297192/,导演: 詹姆斯·曼高德 James Mangold 主演: 约翰·库萨克 John Cusack / 雷...,8.9,881628人评价
美国往事,https://movie.douban.com/subject/1292262/,导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ...,9.1,439956人评价
杀人回忆,https://movie.douban.com/subject/1300299/,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.9,770524人评价
哈利·波特与密室,https://movie.douban.com/subject/1296996/,导演: Chris Columbus 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,8.9,819414人评价
红辣椒,https://movie.douban.com/subject/1865703/,导演: 今敏 Satoshi Kon 主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,9.1,513407人评价
加勒比海盗,https://movie.douban.com/subject/1298070/,导演: 戈尔·维宾斯基 Gore Verbinski 主演: 约翰尼·德普 Johnny Depp / ...,8.8,908797人评价
一一,https://movie.douban.com/subject/1292434/,导演: 杨德昌 Edward Yang 主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,9.1,438426人评价
七宗罪,https://movie.douban.com/subject/1292223/,导演: 大卫·芬奇 David Fincher 主演: 摩根·弗里曼 Morgan Freeman / 布...,8.8,991252人评价
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,导演: 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,8.7,1144663人评价
狩猎,https://movie.douban.com/subject/6985810/,导演: 托马斯·温特伯格 Thomas Vinterberg 主演: 麦斯·米科尔森 Mads Mik...,9.1,424593人评价
7号房的礼物,https://movie.douban.com/subject/10777687/,导演: 李焕庆 Hwan-kyeong Lee 主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.9,587172人评价
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ...,8.9,764604人评价
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,导演: 中岛哲也 Tetsuya Nakashima 主演: 中谷美纪 Miki Nakatani / 瑛太 E...,8.8,736567人评价
甜蜜蜜,https://movie.douban.com/subject/1305164/,导演: 陈可辛 Peter Chan 主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,8.9,610577人评价
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ...,8.8,734016人评价
第六感,https://movie.douban.com/subject/1297630/,导演: M·奈特·沙马兰 M. Night Shyamalan 主演: 布鲁斯·威利斯 Bruce Wi...,8.9,592219人评价
超能陆战队,https://movie.douban.com/subject/11026735/,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams 主演: 斯科特...,8.8,1074964人评价
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,导演: 卢卡·瓜达尼诺 Luca Guadagnino 主演: 艾米·汉莫 Armie Hammer / ...,8.8,771064人评价
重庆森林,https://movie.douban.com/subject/1291999/,导演: 王家卫 Kar Wai Wong 主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,8.8,862354人评价
入殓师,https://movie.douban.com/subject/2149806/,导演: 泷田洋二郎 Yôjirô Takita 主演: 本木雅弘 Masahiro Motoki / ...,8.9,704906人评价
寄生虫,https://movie.douban.com/subject/27010768/,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,8.8,1451010人评价
断背山,https://movie.douban.com/subject/1418834/,导演: 李安 Ang Lee 主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,8.8,740181人评价
剪刀手爱德华,https://movie.douban.com/subject/1292370/,导演: 蒂姆·波顿 Tim Burton 主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,8.7,1076095人评价
幽灵公主,https://movie.douban.com/subject/1297359/,导演: 宫崎骏 Hayao Miyazaki 主演: 松田洋治 Yôji Matsuda / 石田百合...,8.9,557269人评价
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ...,8.9,602212人评价
勇敢的心,https://movie.douban.com/subject/1294639/,导演: 梅尔·吉布森 Mel Gibson 主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,8.9,579721人评价
菊次郎的夏天,https://movie.douban.com/subject/1293359/,导演: 北野武 Takeshi Kitano 主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,8.9,632897人评价
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,导演: 米林宏昌 Hiromasa Yonebayashi 主演: 志田未来 Mirai Shida / 神木...,8.9,588839人评价
未麻的部屋,https://movie.douban.com/subject/1395091/,导演: 今敏 Satoshi Kon 主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,9.1,380548人评价
消失的爱人,https://movie.douban.com/subject/21318488/,导演: 大卫·芬奇 David Fincher 主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,8.7,1012600人评价
无人知晓,https://movie.douban.com/subject/1292337/,导演: 是枝裕和 Hirokazu Koreeda 主演: 柳乐优弥 Yûya Yagira / 北浦爱...,9.1,345240人评价
时空恋旅人,https://movie.douban.com/subject/10577869/,导演: 理查德·柯蒂斯 Richard Curtis 主演: 多姆纳尔·格里森 Domhnall Gl...,8.8,726594人评价
完美的世界,https://movie.douban.com/subject/1300992/,导演: 克林特·伊斯特伍德 Clint Eastwood 主演: 凯文·科斯特纳 Kevin Cos...,9.1,336489人评价
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,导演: 姜文 Wen Jiang 主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,8.8,649511人评价
倩女幽魂,https://movie.douban.com/subject/1297447/,导演: 程小东 Siu-Tung Ching 主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,8.8,774959人评价
哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,导演: 迈克·内威尔 Mike Newell 主演: 丹尼尔·雷德克里夫 Daniel Radclif...,8.8,715385人评价
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,9.0,447525人评价
天使爱美丽,https://movie.douban.com/subject/1292215/,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet 主演: 奥黛丽·塔图 Audrey Tau...,8.7,984901人评价
茶馆,https://movie.douban.com/subject/1461403/,导演: 谢添 Tian Xie 主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,9.6,173845人评价
侧耳倾听,https://movie.douban.com/subject/1297052/,导演: 近藤喜文 Yoshifumi Kondo 主演: 本名阳子 Youko Honna / 小林桂树 K...,8.9,492053人评价
驯龙高手,https://movie.douban.com/subject/2353023/,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders 主演:...,8.8,800077人评价
教父3,https://movie.douban.com/subject/1294240/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A...,9.0,400201人评价
新世界,https://movie.douban.com/subject/10437779/,导演: 朴勋政 Hoon-jung Park 主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,8.9,481003人评价
怪兽电力公司,https://movie.douban.com/subject/1291579/,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman 主演: 约...,8.8,718569人评价
幸福终点站,https://movie.douban.com/subject/1292274/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks...,8.8,604048人评价
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,导演: 汉内斯·赫尔姆 Hannes Holm 主演: 罗夫·拉斯加德 Rolf Lassgård...,8.9,520080人评价
玩具总动员3,https://movie.douban.com/subject/1858711/,导演: 李·昂克里奇 Lee Unkrich 主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,8.9,552256人评价
傲慢与偏见,https://movie.douban.com/subject/1418200/,导演: 乔·怀特 Joe Wright 主演: 凯拉·奈特莉 Keira Knightley / 马修·...,8.7,855052人评价
头脑特工队,https://movie.douban.com/subject/10533913/,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen &nb...,8.8,706416人评价
小森林 冬春篇,https://movie.douban.com/subject/25814707/,导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,9.0,398149人评价
被解救的姜戈,https://movie.douban.com/subject/6307447/,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 杰米·福克斯 Jamie Foxx /...,8.8,646632人评价
色，戒,https://movie.douban.com/subject/1828115/,导演: 李安 Ang Lee 主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,8.7,881761人评价
萤火之森,https://movie.douban.com/subject/5989818/,导演: 大森贵弘 Takahiro Omori 主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,8.8,572910人评价
釜山行,https://movie.douban.com/subject/25986180/,导演: 延尚昊 Sang-ho Yeon 主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,8.6,1267808人评价
神偷奶爸,https://movie.douban.com/subject/3287562/,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud 主演: ...,8.7,994252人评价
九品芝麻官,https://movie.douban.com/subject/1297518/,导演: 王晶 Jing Wong 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,8.7,731967人评价
哪吒闹海,https://movie.douban.com/subject/1307315/,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan 主演: 梁正晖 Zhenghui ...,9.2,276657人评价
告白,https://movie.douban.com/subject/4268598/,导演: 中岛哲也 Tetsuya Nakashima 主演: 松隆子 Takako Matsu / 冈田将生 ...,8.8,703001人评价
喜宴,https://movie.douban.com/subject/1303037/,导演: 李安 Ang Lee 主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,9.0,393031人评价
玛丽和马克思,https://movie.douban.com/subject/3072124/,导演: 亚当·艾略特 Adam Elliot 主演: 托妮·科莱特 Toni Collette / 菲利...,9.0,437296人评价
模仿游戏,https://movie.douban.com/subject/10463953/,导演: 莫滕·泰杜姆 Morten Tyldum 主演: 本尼迪克特·康伯巴奇 Benedict C...,8.8,684004人评价
大鱼,https://movie.douban.com/subject/1291545/,导演: 蒂姆·波顿 Tim Burton 主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,8.8,595481人评价
头号玩家,https://movie.douban.com/subject/4920389/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 泰伊·谢里丹 Tye Sheri...,8.6,1433623人评价
花样年华,https://movie.douban.com/subject/1291557/,导演: 王家卫 Kar Wai Wong 主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,8.8,654853人评价
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,导演: 刘镇伟 Jeffrey Lau 主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,8.7,674897人评价
七武士,https://movie.douban.com/subject/1295399/,导演: 黑泽明 Akira Kurosawa 主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,9.3,212266人评价
我是山姆,https://movie.douban.com/subject/1306861/,导演: 杰茜·尼尔森 Jessie Nelson 主演: Sean Penn / Dakota Fanning / Mi...,9.0,356050人评价
惊魂记,https://movie.douban.com/subject/1293181/,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock 主演: 安东尼·博金斯 Antho...,9.0,323206人评价
血战钢锯岭,https://movie.douban.com/subject/26325320/,导演: 梅尔·吉布森 Mel Gibson 主演: 安德鲁·加菲尔德 Andrew Garfield /...,8.7,816672人评价
