应用名称,原始行号
Microsoft VSS Writer for SQL Server 2012,26
Microsoft Visual Basic for Applications 7.1 (x64),62
Microsoft Visual Basic for Applications 7.1 (x64) Chinese (Simplified),62
Microsoft Visual J# 2.0 Redistributable Package,67
Microsoft Visual Studio 2010 Shell (Integrated) - CHS,64
Microsoft Visual Studio 2010 Shell (Isolated) - CHS,64
Microsoft Visual Studio Code (User),62
Microsoft Visual Studio Tools for Applications Design-Time 3.0,64
Microsoft Visual Studio Tools for Applications Design-Time 3.0 - 简体中文语言包,64
Microsoft Visual Studio Tools for Applications x64 Runtime 3.0,64
Microsoft Visual Studio Tools for Applications x64 Runtime 3.0 - 简体中文语言包,64
Microsoft Visual Studio Tools for Applications x86 Runtime 3.0,64
Microsoft Visual Studio Tools for Applications x86 Runtime 3.0 - 简体中文语言包,64
Microsoft Windows Desktop Runtime - 6.0.36 (x64),67
Microsoft Windows Desktop Runtime - 6.0.36 (x86),8
Microsoft Windows Desktop Runtime - 7.0.20 (x64),8
Microsoft Windows Desktop Runtime - 7.0.7 (x64),49
Microsoft Windows Desktop Runtime - 8.0.0 (x64),62
Microsoft Windows Desktop Runtime - 8.0.10 (x64),4
Microsoft Windows Desktop Runtime - 8.0.11 (x64),21
Microsoft Windows Desktop Runtime - 8.0.14 (x64),13
Microsoft Windows Desktop Runtime - 8.0.14 (x86),13
Microsoft Windows Desktop Runtime - 8.0.17 (x64),49
Microsoft Windows Desktop Runtime - 8.0.23 (x64),8
Microsoft Windows Desktop Runtime - 8.0.23 (x86),8
Microsoft Windows Desktop Runtime - 8.0.6 (x64),25
Microsoft Windows Desktop Runtime - 9.0.5 (x64),49
Microsoft Windows Desktop Targeting Pack - 6.0.36 (x64),67
Microsoft.NET.Sdk.Android.Manifest-6.0.300,67
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300,67
Microsoft.NET.Sdk.Maui.Manifest-6.0.300,67
Microsoft.NET.Sdk.iOS.Manifest-6.0.300,67
Microsoft.NET.Sdk.macOS.Manifest-6.0.300,67
Microsoft.NET.Sdk.tvOS.Manifest-6.0.300,67
Microsoft.NET.Workload.Emscripten.Manifest (x64),67
Microsoft.NET.Workload.Mono.Toolchain.Manifest,67
Microsoft_VC80_CRT_x86,67
Microsoft_VC90_CRT_x86,67
NVIDIA Platform Controllers and Framework,8
Pulse Secure Setup Client 64-bit Activex Control,10
Pulse Secure Setup Client Activex Control,10
Security Update for Microsoft Project 2016 (KB5002652) 64-Bit Edition,23
Security Update for Microsoft Visio 2016 (KB5002016) 64-Bit Edition,41
Security Update for Microsoft Visio 2016 (KB5002418) 64-Bit Edition,15
Security Update for Microsoft Visio 2016 (KB5002491) 64-Bit Edition,67
Security Update for Microsoft Visio 2016 (KB5002634) 64-Bit Edition,23
Update for Microsoft Project 2016 (KB5002132) 64-Bit Edition,41
Update for Microsoft Project 2016 (KB5002502) 64-Bit Edition,15
Update for Microsoft Project 2016 (KB5002530) 64-Bit Edition,67
Update for Microsoft Visio Viewer 2016 (KB2920709) 64-Bit Edition,15
Visual Studio 2010 Prerequisites - English,64
Windows Driver Package - Microsoft (USBCCID) SmartCardReader  (08/01/2006 5.2.3790.2724),21
Windows Driver Package - Microsoft (USBCCID) SmartCardReader (08/01/2006 5.2.3790.2724),6
Windows 驱动程序包 - Microsoft iFLYTEK Device (09/04/2012 13.54.20.543),10
