应用名称,原始行号
NVIDIA Optimus Update 34.0.0.0,61
NVIDIA Optimus Update 39.5.0.0,25
QQ,4
QQ五笔输入法2.4,64
QQ浏览器,10
Tencent QQMail Plugin,5
Windows 驱动程序包 - Timi (WRadioSwitch) HIDClass (04/18/2016 2.1.5.1),9
企业微信,2
微信,2
微信开发者工具 1.06.2306020,67
微信输入法,35
腾讯QQ,5
腾讯会议,3
